Date,return,port_value,cash,n_held,year,config,side,schema,window
2022-12-02,0.032744641535383825,906942.997942734,22452.712158154132,5,2022,Q75,long,26f,0
2022-12-05,0.020951306709108025,925944.6388603102,22452.712158154132,5,2022,Q75,long,26f,0
2022-12-06,-0.057006193514291474,873160.0595939186,8114.045132756233,5,2022,Q75,long,26f,0
2022-12-07,-0.0003745421629249823,872833.0243366186,8114.045132756233,5,2022,Q75,long,26f,0
2022-12-08,0.029623481531703976,898689.3773133158,8114.045132756233,5,2022,Q75,long,26f,0
2022-12-09,0.0026961327194608663,901112.3631481221,8114.045132756233,5,2022,Q75,long,26f,0
2022-12-12,-0.025012344742212866,878573.4300695912,8114.045132756233,5,2022,Q75,long,26f,0
2022-12-13,0.015606900553772693,892285.2382218742,7987.277819599229,5,2022,Q75,long,26f,0
2022-12-14,-0.010595345391264738,882831.1679353865,7987.277819599229,5,2022,Q75,long,26f,0
2022-12-15,-0.00861813622723639,875222.8086644692,7987.277819599229,5,2022,Q75,long,26f,0
2022-12-16,0.00034080643137863114,875521.0902265513,7987.277819599229,5,2022,Q75,long,26f,0
2022-12-19,-0.017412716202468884,860275.8899531602,7987.277819599229,5,2022,Q75,long,26f,0
2022-12-20,-0.033365578585164174,831572.287142006,7786.215834966148,5,2022,Q75,long,26f,0
2022-12-21,-0.03260049366081826,804462.6200665209,7786.215834966148,5,2022,Q75,long,26f,0
2022-12-22,0.01918905263362905,819899.4956247645,7786.215834966148,5,2022,Q75,long,26f,0
2022-12-23,0.002553937886580525,821993.4680098288,7786.215834966148,5,2022,Q75,long,26f,0
2022-12-26,-0.03393117554932604,794102.263346388,7786.215834966148,5,2022,Q75,long,26f,0
2022-12-27,0.03735277329380049,823764.1851612595,7221.087433649547,5,2022,Q75,long,26f,0
2022-12-28,0.013045931761386475,834510.9565083474,7221.087433649547,5,2022,Q75,long,26f,0
2022-12-29,0.0022494850417511493,836388.1764221904,7221.087433649547,5,2022,Q75,long,26f,0
2022-12-30,-0.007945758212460498,829742.4382005789,7221.087433649547,5,2022,Q75,long,26f,0
2023-01-03,0.04821734679968446,1048217.3467996845,8712.999999999942,5,2023,EqWt,long,26f,1
2023-01-04,-0.016448212037978777,1030976.0456176357,8712.999999999942,5,2023,EqWt,long,26f,1
2023-01-05,0.0058572739074094285,1037014.754708796,8712.999999999942,5,2023,EqWt,long,26f,1
2023-01-06,-0.0025526929125326793,1034367.5744942591,8712.999999999942,5,2023,EqWt,long,26f,1
2023-01-09,0.002582898613802234,1037039.2410685823,8712.999999999942,5,2023,EqWt,long,26f,1
2023-01-10,0.014886660370570362,1052477.2920413243,9343.287107486212,5,2023,EqWt,long,26f,1
2023-01-11,0.023854853296412997,1077583.9834407761,9343.287107486212,5,2023,EqWt,long,26f,1
2023-01-12,-0.0046377005945567665,1072586.471560088,9343.287107486212,5,2023,EqWt,long,26f,1
2023-01-13,-0.010612984275796242,1061203.128202989,9343.287107486212,5,2023,EqWt,long,26f,1
2023-01-16,-0.012294832858122025,1048155.813113217,9343.287107486212,5,2023,EqWt,long,26f,1
2023-01-17,0.021107624149284094,1070279.892066298,9433.443718010385,5,2023,EqWt,long,26f,1
2023-01-18,0.014846409072353853,1086169.705165829,9433.443718010385,5,2023,EqWt,long,26f,1
2023-01-19,0.0026481387972066023,1089046.0333024291,9433.443718010385,5,2023,EqWt,long,26f,1
2023-01-27,0.010585363050489585,1100573.980943631,9433.443718010385,5,2023,EqWt,long,26f,1
2023-01-30,-0.007551098006696587,1092263.4389499053,9433.443718010385,5,2023,EqWt,long,26f,1
2023-01-31,0.03281918991371712,1128110.640188612,9205.43504523189,5,2023,EqWt,long,26f,1
2023-02-01,-0.049406726423168415,1072374.386413748,9205.43504523189,5,2023,EqWt,long,26f,1
2023-02-02,-0.008831843977284452,1062903.3431477055,9205.43504523189,5,2023,EqWt,long,26f,1
2023-02-03,0.011629684695223203,1075264.573890012,9205.43504523189,5,2023,EqWt,long,26f,1
2023-02-06,0.01209783979496593,1088272.9524421357,9205.43504523189,5,2023,EqWt,long,26f,1
2023-02-07,-0.02418458226526003,1061953.5256967414,8669.138238408894,5,2023,EqWt,long,26f,1
2023-02-08,0.00739675443274361,1069808.5351453065,8669.138238408894,5,2023,EqWt,long,26f,1
2023-02-09,0.005123135002126665,1075289.3086972833,8669.138238408894,5,2023,EqWt,long,26f,1
2023-02-10,-0.005818800052631253,1069032.4152112417,8669.138238408894,5,2023,EqWt,long,26f,1
2023-02-13,-0.026008306779409893,1041228.6921992942,8669.138238408894,5,2023,EqWt,long,26f,1
2023-02-14,0.0038370440062019044,1045223.932511783,7764.790928711474,5,2023,EqWt,long,26f,1
2023-02-15,0.012612362060705302,1058406.6751831358,7764.790928711474,5,2023,EqWt,long,26f,1
2023-02-16,0.02484749853290734,1084705.433491968,7764.790928711474,5,2023,EqWt,long,26f,1
2023-02-17,0.0005148071184499551,1085263.847570551,7764.790928711474,5,2023,EqWt,long,26f,1
2023-02-20,0.05150844310374799,1141164.0987156935,7764.790928711474,5,2023,EqWt,long,26f,1
2023-02-21,-0.003627538632309296,1137024.4818617979,8595.911986063118,5,2023,EqWt,long,26f,1
2023-02-22,-0.04234219081183341,1088880.3742930796,8595.911986063118,5,2023,EqWt,long,26f,1
2023-02-23,0.018010796511971967,1108491.9771403521,8595.911986063118,5,2023,EqWt,long,26f,1
2023-02-24,-0.03207978933799982,1072931.7880308267,8595.911986063118,5,2023,EqWt,long,26f,1
2023-02-27,-0.02130924237912878,1050068.4245034058,8595.911986063118,5,2023,EqWt,long,26f,1
2023-02-28,-0.026477339367214178,1022265.4064690332,7721.388759194873,5,2023,EqWt,long,26f,1
2023-03-01,0.010057028346725377,1032546.358639769,7721.388759194873,5,2023,EqWt,long,26f,1
2023-03-02,0.0036788466349429575,1036344.9383366735,7721.388759194873,5,2023,EqWt,long,26f,1
2023-03-03,-0.007244043664080969,1028837.6103523134,7721.388759194873,5,2023,EqWt,long,26f,1
2023-03-06,0.027678807449925194,1057314.6084664962,7721.388759194873,5,2023,EqWt,long,26f,1
2023-03-07,0.03970761011243341,1099298.044705664,9080.258963084954,5,2023,EqWt,long,26f,1
2023-03-08,0.015150323266370048,1115952.7654490434,9080.258963084954,5,2023,EqWt,long,26f,1
2023-03-09,-0.0015395994684150472,1114234.6451645817,9080.258963084954,5,2023,EqWt,long,26f,1
2023-03-10,-0.001455979101596178,1112612.3428069477,9080.258963084954,5,2023,EqWt,long,26f,1
2023-03-13,0.0014122652072270131,1114183.6465078252,9080.258963084954,5,2023,EqWt,long,26f,1
2023-03-14,-0.030868835945442808,1079790.09431068,8803.818518344407,5,2023,EqWt,long,26f,1
2023-03-15,0.04083579259341313,1123884.1786463729,8803.818518344407,5,2023,EqWt,long,26f,1
2023-03-16,-0.012552109837387193,1109777.060991502,8803.818518344407,5,2023,EqWt,long,26f,1
2023-03-17,0.013149392293585044,1124369.954924901,8803.818518344407,5,2023,EqWt,long,26f,1
2023-03-20,-0.03078335951631128,1089758.070373109,8803.818518344407,5,2023,EqWt,long,26f,1
2023-03-21,0.023785936575355236,1115678.9867174854,9868.573698254184,5,2023,EqWt,long,26f,1
2023-03-22,0.006559266866946244,1122997.0229292095,9868.573698254184,5,2023,EqWt,long,26f,1
2023-03-23,0.01839076106950045,1143649.792859661,9868.573698254184,5,2023,EqWt,long,26f,1
2023-03-24,0.0037660913923343977,1147956.8825003947,9868.573698254184,5,2023,EqWt,long,26f,1
2023-03-27,0.014283838475793849,1164354.1131872062,9868.573698254184,5,2023,EqWt,long,26f,1
2023-03-28,-0.009597535165565024,1153179.1836407217,10455.917659544075,5,2023,EqWt,long,26f,1
2023-03-29,0.005318616147066137,1159312.5010672938,10455.917659544075,5,2023,EqWt,long,26f,1
2023-03-30,0.010360145860455238,1171323.1476762001,10455.917659544075,5,2023,EqWt,long,26f,1
2023-03-31,0.005599083472862868,1177881.4837537357,10455.917659544075,5,2023,EqWt,long,26f,1
2023-04-03,0.02201272689769068,1203809.8671734533,10455.917659544075,5,2023,EqWt,long,26f,1
2023-04-04,0.007466326070550292,1212797.9041687162,10177.147407299839,5,2023,EqWt,long,26f,1
2023-04-05,0.014602140041781555,1230507.349007767,10177.147407299839,5,2023,EqWt,long,26f,1
2023-04-06,-0.019908740675427267,1206009.4972971638,10177.147407299839,5,2023,EqWt,long,26f,1
2023-04-07,0.01254384677967985,1221137.4956460982,10177.147407299839,5,2023,EqWt,long,26f,1
2023-04-10,0.02487251429600737,1251510.2554639464,10177.147407299839,5,2023,EqWt,long,26f,1
2023-04-11,0.02732414695598478,1285706.7056011653,11778.083722939027,5,2023,EqWt,long,26f,1
2023-04-12,0.009119296761200884,1297431.4465974083,11778.083722939027,5,2023,EqWt,long,26f,1
2023-04-13,-0.01871964104085304,1273143.99564199,11778.083722939027,5,2023,EqWt,long,26f,1
2023-04-14,-0.029177926748503138,1235996.2933968515,11778.083722939027,5,2023,EqWt,long,26f,1
2023-04-17,0.016293855883156586,1256135.4388735755,11778.083722939027,5,2023,EqWt,long,26f,1
2023-04-18,0.01136877618015522,1270416.1615300903,11231.783538139513,5,2023,EqWt,long,26f,1
2023-04-19,-0.023289699075762546,1240828.5514270691,11231.783538139513,5,2023,EqWt,long,26f,1
2023-04-20,0.0032559979446162976,1244868.6866401369,11231.783538139513,5,2023,EqWt,long,26f,1
2023-04-21,-0.010855493419703561,1231355.0228039199,11231.783538139513,5,2023,EqWt,long,26f,1
2023-04-24,0.004178421682600198,1236500.1433301824,11231.783538139513,5,2023,EqWt,long,26f,1
2023-04-25,-0.01775608805574667,1214544.7379042683,11146.243113635748,5,2023,EqWt,long,26f,1
2023-04-26,0.0067665598217189656,1222763.0275294515,11146.243113635748,5,2023,EqWt,long,26f,1
2023-04-27,0.01647951870074575,1242913.5737082036,11146.243113635748,5,2023,EqWt,long,26f,1
2023-04-28,0.03314222589486162,1284106.4961358306,11146.243113635748,5,2023,EqWt,long,26f,1
2023-05-04,-0.0069650179160876255,1275162.67138408,11146.243113635748,5,2023,EqWt,long,26f,1
2023-05-05,-0.008422856286580599,1264422.1594609998,11362.196111986821,5,2023,EqWt,long,26f,1
2023-05-08,-0.0031592436807824542,1260427.5417438813,11362.196111986821,5,2023,EqWt,long,26f,1
2023-05-09,0.004938819942702883,1266652.566423378,11362.196111986821,5,2023,EqWt,long,26f,1
2023-05-10,0.015769585910743723,1286627.1528886554,11362.196111986821,5,2023,EqWt,long,26f,1
