Date,index_code,fgn_buy,fgn_sell,total_value
2016-10-10,VNMID,54168988000.0,63803307000.0,556629000000.0
2016-10-10,VNSML,6545674000.0,4598558000.0,361549000000.0
2016-10-11,VN30,220186454000.0,209275935000.0,1855967000000.0
2016-10-11,VNINDEX,282866157000.0,267956697000.0,3038313927600.0
2016-10-11,VNMID,39862667000.0,56731898000.0,688904000000.0
2016-10-11,VNSML,11265232000.0,4111362000.0,322976000000.0
2016-10-12,VN30,200973400000.0,105676302000.0,1088898000000.0
2016-10-12,VNINDEX,243006344000.0,151277570000.0,1993761568000.0
2016-10-12,VNMID,33239817000.0,50804544000.0,480291000000.0
2016-10-12,VNSML,12717937000.0,2999251000.0,251461000000.0
2016-10-13,VN30,182950750000.0,165611248000.0,1219872000000.0
2016-10-13,VNINDEX,217847732000.0,250888991000.0,2125570600500.0
2016-10-13,VNMID,28308077000.0,81639454000.0,469350000000.0
2016-10-13,VNSML,10504660000.0,7161705000.0,249894000000.0
2016-10-14,VN30,538597649000.0,160858738000.0,2031557000000.0
2016-10-14,VNINDEX,579298214000.0,247132752000.0,3341558517300.0
2016-10-14,VNMID,35432593000.0,86590973000.0,558331000000.0
2016-10-14,VNSML,7421571000.0,3105845000.0,320756000000.0
2016-10-17,VN30,82809976000.0,150180099000.0,960453000000.0
2016-10-17,VNINDEX,148990061000.0,204466625000.0,1826235158200.0
2016-10-17,VNMID,29866448000.0,66952501000.0,492797000000.0
2016-10-17,VNSML,37201009000.0,1553082000.0,265997000000.0
2016-10-18,VN30,245096073000.0,264055894000.0,1594699000000.0
2016-10-18,VNINDEX,290019536000.0,334039031000.0,2526191491000.0
2016-10-18,VNMID,36229492000.0,158485750000.0,473763000000.0
2016-10-18,VNSML,8113114000.0,18279541000.0,329571000000.0
2016-10-19,VN30,216846904000.0,177120650000.0,2219040000000.0
2016-10-19,VNINDEX,273346077000.0,229701410000.0,3163746736400.0
